[00:00:10.003] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.004] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.004] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.004] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.004] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.004] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.004] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.005] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.005] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.005] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_1, Total msg: 300
[00:00:10.015] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.015] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.016] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.016] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.016] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.016] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.016] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.016] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.017] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.017] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_2, Total msg: 300
[00:00:10.028] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.029] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.029] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.029] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.029] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.030] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.030] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.030] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.031] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.031] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_3, Total msg: 300
[00:00:10.041] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_4, Total msg: 300
[00:00:10.041] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_4, Total msg: 300
[00:00:10.041] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_4, Total msg: 300
